2022-06-13 11:28:25,838 | INFO | main | fileServer.FileServerApplication |- Starting FileServerApplication using Java 1.8.0_121 on Ohh with PID 15152 (D:\JAVA\git\fileServer\target\classes started by 86435 in D:\JAVA\git\fileServer)
2022-06-13 11:28:25,848 | INFO | main | fileServer.FileServerApplication |- No active profile set, falling back to 1 default profile: "default"
2022-06-13 11:28:27,344 | INFO | main | config.RepositoryConfigurationDelegate |- Multiple Spring Data modules found, entering strict repository configuration mode!
2022-06-13 11:28:27,350 | INFO | main | config.RepositoryConfigurationDelegate |- Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-06-13 11:28:27,427 | INFO | main | config.RepositoryConfigurationDelegate |- Finished Spring Data repository scanning in 35 ms. Found 0 Redis repository interfaces.
2022-06-13 11:28:28,837 | INFO | main | tomcat.TomcatWebServer |- Tomcat initialized with port(s): 8081 (http)
2022-06-13 11:28:28,858 | INFO | main | http11.Http11NioProtocol |- Initializing ProtocolHandler ["http-nio-8081"]
2022-06-13 11:28:28,858 | INFO | main | core.StandardService |- Starting service [Tomcat]
2022-06-13 11:28:28,865 | INFO | main | core.StandardEngine |- Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-13 11:28:29,242 | INFO | main | [localhost].[/] |- Initializing Spring embedded WebApplicationContext
2022-06-13 11:28:29,242 | INFO | main | context.ServletWebServerApplicationContext |- Root WebApplicationContext: initialization completed in 3302 ms
2022-06-13 11:28:30,542 | INFO | main | web.PropertySourcedRequestMappingHandlerMapping |- Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-06-13 11:28:31,022 | INFO | main | http11.Http11NioProtocol |- Starting ProtocolHandler ["http-nio-8081"]
2022-06-13 11:28:31,056 | INFO | main | tomcat.TomcatWebServer |- Tomcat started on port(s): 8081 (http) with context path ''
2022-06-13 11:28:31,064 | INFO | main | plugins.DocumentationPluginsBootstrapper |- Context refreshed
2022-06-13 11:28:31,088 | INFO | main | plugins.DocumentationPluginsBootstrapper |- Found 1 custom documentation plugin(s)
2022-06-13 11:28:31,139 | INFO | main | scanners.ApiListingReferenceScanner |- Scanning for api listing references
2022-06-13 11:28:31,498 | INFO | main | fileServer.FileServerApplication |- Started FileServerApplication in 6.97 seconds (JVM running for 13.05)
2022-06-13 11:28:31,955 | INFO | http-nio-8081-exec-4 | [localhost].[/] |- Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-13 11:28:31,955 | INFO | http-nio-8081-exec-4 | servlet.DispatcherServlet |- Initializing Servlet 'dispatcherServlet'
2022-06-13 11:28:31,955 | INFO | http-nio-8081-exec-4 | servlet.DispatcherServlet |- Completed initialization in 0 ms
2022-06-13 11:30:27,818 | INFO | http-nio-8081-exec-7 | config.RepositoryConfigurationDelegate |- Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-06-13 11:30:27,842 | INFO | http-nio-8081-exec-7 | config.RepositoryConfigurationDelegate |- Finished Spring Data repository scanning in 22 ms. Found 0 Redis repository interfaces.
2022-06-13 11:30:28,027 | INFO | http-nio-8081-exec-7 | web.PropertySourcedRequestMappingHandlerMapping |- Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
